"","mean","sd"
"Hippocampus_cor",0.00534378172495281,0.000470930619358219
"Brainvolume_cor",0.725307007852217,0.0238063578060498
"Ventricles_cor",0.0140902756331448,0.00530909071694446
"precuneus_volumes_cor",0.0124977200124702,0.00101472000542711
"middletemporal_volume_cor",0.0145989928078898,0.00134113535381174
"fusiform_volume_cor",0.0120277417748786,0.000908053750327583
"entorhinal_volume_cor",0.00238313301405054,0.000303839263462298
"frontal_cor",0.101502314936802,0.00566084432579368
"parietal_cor",0.0786651805545253,0.00413561065900598
"temporal_cor",0.0649755016041393,0.00385814355477669
"occipital_cor",0.0311613206636802,0.0027764092077445
